hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
3,59,32.02,59.88341667,-73,40,30.6,-73.67516667,6.5786,0.4664,0.070896543,18.45918946,1.6342E-16,1.58905E+25
3,59,35.25,59.896875,-73,41,52.2,-73.69783333,6.5136,0.4453,0.068364652,18.33100939,1.54746E-16,1.66153E+25
3,58,46.11,59.692125,-73,27,46.4,-73.46288889,5.2284,0.448,0.085685869,19.15710544,2.17128E-16,9.5052E+24
3,58,51.35,59.71395833,-73,28,51.5,-73.48097222,5.4281,0.3409,0.062802822,18.03872672,1.36256E-16,1.57254E+25
3,58,54.93,59.728875,-73,30,14.4,-73.504,5.697,0.2561,0.044953484,16.97236031,8.25285E-17,2.7249E+25
3,58,56.73,59.736375,-73,31,52.1,-73.53113889,5.8604,0.2921,0.049843014,17.28793674,9.63474E-17,2.40102E+25
3,58,58.47,59.743625,-73,33,18,-73.555,6.1789,0.3771,0.06103028,17.94220394,1.3053E-16,1.86858E+25
3,59,4.64,59.76933333,-73,34,45.9,-73.57941667,6.4313,0.4392,0.068291014,18.32723786,1.54496E-16,1.64319E+25
3,59,4.08,59.767,-73,36,13.5,-73.60375,6.4573,0.4372,0.067706317,18.29720174,1.52517E-16,1.67125E+25
3,59,7.96,59.78316667,-73,37,43,-73.62861111,6.6187,0.4237,0.064015592,18.10379113,1.40221E-16,1.86324E+25
3,59,10.63,59.79429167,-73,39,11.6,-73.65322222,6.7168,0.4646,0.069169843,18.37208609,1.57488E-16,1.68354E+25
3,59,12.73,59.80304167,-73,40,35.7,-73.67658333,6.7436,0.4887,0.072468711,18.53736878,1.68885E-16,1.57619E+25
3,59,14.76,59.8115,-73,42,8.1,-73.70225,6.6593,0.4927,0.073986755,18.6118748,1.74218E-16,1.50884E+25
3,58,28.16,59.61733333,-73,27,28.7,-73.45797222,5.3623,0.4597,0.085728139,19.15899101,2.17289E-16,9.74142E+24
3,58,30.55,59.62729167,-73,29,2.5,-73.48402778,5.6466,0.2514,0.044522367,16.94349366,8.13446E-17,2.7401E+25
3,58,36.01,59.65004167,-73,30,34.3,-73.50952778,5.9073,0.2833,0.047957612,17.16871487,9.09346E-17,2.5643E+25
3,58,36.63,59.652625,-73,32,2.7,-73.53408333,5.9982,0.3276,0.054616385,17.57742936,1.10509E-16,2.14256E+25
